plan,departement,commune,adresse,date_vente,annee_construction,nb_pieces,etage,surface_carrez,surface_utile,prix,prix_surface_carrez,prix_surface_utile
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,23/04/2018,1975,2,3,,46,45000,,"978,26"
11,86,CHATELLERAULT,27 RUE GUILLEMOT,23/04/2018,1965,3,3,,63,48000,,"761,90"
13,86,CHATELLERAULT,17 AV MARECHAL FOCH,20/04/2018,1981,4,2,,75,93500,,"1246,67"
4,86,CHATELLERAULT,38 RUE DE L ANGELARDE,12/04/2018,1995,2,2,,56,77500,,"1383,93"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,09/04/2018,1974,2,4,,44,45000,,"1022,73"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,05/04/2018,2004,2,1,57,57,63000,"1102,94","1105,26"
19,86,CHATELLERAULT,18 AV PIERRE ABELIN,27/03/2018,1978,2,2,48,48,100000,"2075,55","2083,33"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,26/03/2018,2005,2,1,52,51,49560,"958,24","971,76"
20,86,CHATELLERAULT,16 RUE RAYMOND PITET,23/03/2018,1975,3,2,63,62,77500,"1223,94","1250,00"
17,86,CHATELLERAULT,17 RUE DES MOULINS,21/03/2018,1800,2,1,,43,44000,,"1023,26"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,17/03/2018,1974,2,6,,43,36000,,"837,21"
9,86,CHATELLERAULT,19 RUE GUILLEMOT,16/03/2018,1964,3,2,,60,45000,,"750,00"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/03/2018,2004,3,0,71,71,88000,"1240,14","1239,44"
3,86,CHATELLERAULT,52 RUE AIME RASSETEAU,01/03/2018,1985,2,0,35,34,30000,"868,81","882,35"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/02/2018,2004,2,2,72,70,75000,"1042,83","1071,43"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,19/02/2018,2005,3,2,63,63,69000,"1103,65","1095,24"
1,86,CHATELLERAULT,10 RUE ABEL ORILLARD,06/02/2018,1890,2,1,,39,31500,,"807,69"
12,86,CHATELLERAULT,2 QUAI DU HUIT MAI,05/02/2018,1980,1,2,,30,50000,,"1666,67"
15,86,CHATELLERAULT,39 AV MARECHAL LECLERC,26/01/2018,1977,1,1,36,36,32000,"900,90","888,89"
22,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,23/01/2018,2001,3,1,71,71,76000,"1073,14","1070,42"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,11/01/2018,2005,3,2,63,62,60000,"958,31","967,74"
23,86,CHATELLERAULT,7 RUE DES SORBIERS,10/01/2018,2006,2,0,60,69,86990,"1455,90","1260,72"
